feature,fold_1,fold_2,fold_3,fold_4,fold_5,mean_imp,std_imp,pos_ratio
vertical_activity_ratio,0.0035825195122730635,0.001719188565379559,0.0011918380098997483,0.0015434186726623889,0.0023577275424114807,0.002078938460525248,0.0009409606754673673,1.0
ix_turn_speed_product,0.0031592887814971826,0.0018742110493416009,0.00186561253104911,0.0022978051284457957,0.0011545295193648997,0.002070289401939718,0.0007342749074516877,1.0
alt_p90,0.00038795446513795184,0.0025621758893723534,0.0032069456650923867,0.001469373082348735,0.0023604236394252354,0.0019973745482753324,0.0010934905162088041,1.0
hd_heading_circ_std,0.00046738403742851986,0.003439983166937388,0.0012335882612155569,0.0037449207885197344,0.0009584744874601148,0.001968870148312263,0.001511169148067799,1.0
ix_alt_sq,0.0005085303976160027,0.002493726478225544,0.0013948086291353246,0.002445050786938685,0.002659221892038599,0.0019002676367908312,0.0009243125810631932,1.0
ix_alt_mean_log,0.001141636130728374,0.002179271200191013,0.002492246386256114,0.001554809387385725,0.0020861164844475644,0.001890815917801758,0.0005378750113867547,1.0
ix_hour_sin,0.00111725995473122,0.001510649250787477,0.0015796542363384347,0.002507206688477037,0.0025203929496880884,0.0018470326160044514,0.000633730433306014,1.0
ix_vertical_xy_energy_ratio,0.0034695673853920583,0.0004516625898236537,0.0008531935256824719,0.0021085462302462554,0.0011325862003345177,0.0016031111862957915,0.0012092071221702838,1.0
ix_energy_per_distance,0.0009456373106638827,0.0013176783205606224,0.001845195888694584,0.0022447785877847126,0.001563398653176118,0.001583337752175984,0.0004959102784404703,1.0
rv_p90,0.0016268726293362512,0.001279833808924269,0.0007607107083262843,0.0034044499665425443,0.0008364132654331558,0.0015816560757125008,0.0010776197066224326,1.0
descent_episode_mean_len,0.0013134801659608897,0.000981006005799423,0.002061573357626134,0.0019642765303151677,0.0015208201131813315,0.0015682312345765893,0.0004506156115129841,1.0
alt_p50,0.0019340896340661606,0.0010341278476484472,0.0004415306422763665,0.0017480867594693583,0.002511148107349759,0.0015337965981620182,0.0008068588071906734,1.0
ix_vertical_energy_per_alt,0.00047602408343494496,0.0027365107897386887,0.000957351367295245,0.0017136432451824168,0.0017628867608379117,0.0015292832492978415,0.0008634840026327219,1.0
ix_speed_alt_diff,0.0015338672114403318,0.0018690438075547045,0.0020927573612848915,0.0007638848129443154,0.001337758177062165,0.0015194622740572817,0.0005135649146966377,1.0
ix_speed_alt_product,0.0016226510514200099,0.0015543226954515266,0.0007976819471945396,0.0014595877162502102,0.002137383437500806,0.0015143253695634185,0.00047909017965425403,1.0
alt_mean,0.00037163135456574903,0.001234166506801193,0.0006533905821173303,0.0020699212280564927,0.0028500971212697124,0.0014358413585620956,0.0010231839447586437,1.0
climb_rate_mean,0.001691185918516247,0.001648610168678899,0.0008974181118222013,0.0011651082657027079,0.001244772836465513,0.0013294190602371136,0.0003367291431136283,1.0
rv_cv,0.0010513846147883754,0.0010100364468770273,0.0003467852987171227,0.0016654996836467095,0.002184779392131686,0.0012516970872321841,0.0006998688222129403,1.0
speed_p10,0.0018026015890164615,0.0005545898141542382,0.0015185290395836049,0.0014468387960265838,0.000802747302275808,0.0012250613082113392,0.0005236273683076931,1.0
ix_hour_cos,0.0005710725221018675,0.0013256030624314574,0.0013602026042244253,0.0005523829387165113,0.00217052048869526,0.0011959563232339042,0.0006704899135299426,1.0
energy_vertical_horizontal_ratio,0.0025043072686126155,0.0005573009152068931,0.00020533174141146304,0.0011027895843922497,0.0015899912618470013,0.0011919441542940445,0.0009034466053899656,1.0
ix_speed_mean_log,0.0031788822257775573,0.0006686880445523347,0.000784908214338853,0.0006488846775991597,0.000549455557011802,0.0011661637438559413,0.0011282486602874713,1.0
ix_heading_over_curvature,0.0012373070989827317,0.0012911052748076912,0.001979869936267975,0.0008822267943434658,0.0003279975035660465,0.001143701321593582,0.0006048573315864739,1.0
ix_vertical_dominance,0.0009403708606386951,0.0012195716709727522,0.0011436857523366983,0.001100955662222014,0.0012682595184639878,0.0011345686929268295,0.00012651531308535224,1.0
hd_heading_acf1_cos,0.0006630239070715138,0.0010461475775193074,0.0012438370935564658,0.0018076360484466925,0.0008723657946134722,0.0011266020842414903,0.0004369110472321867,1.0
ix_vertical_efficiency,0.001822494656134488,0.0005104893438052649,0.001456564841405772,0.001299403396695431,0.00035309728536070395,0.001088409904680332,0.0006311920381782378,1.0
segment_density,0.0004178790127173926,0.000984604195610972,0.0018744040955983587,0.0012559364222530789,0.0007173171409992074,0.001050028173435802,0.0005560088482544144,1.0
speed_iqr,0.0018820608331409083,0.0007158763160283188,0.0006777663588973803,0.0006377458436517269,0.0013070854162954282,0.0010441069536027525,0.0005427694055778853,1.0
