iter	Passed	Remaining
951	11340	48219
952	11352	48207
953	11364	48196
954	11376	48185
955	11387	48171
956	11398	48155
957	11410	48141
958	11422	48131
959	11434	48119
960	11445	48105
961	11457	48092
962	11469	48079
963	11480	48065
964	11491	48051
965	11503	48037
966	11514	48022
967	11526	48009
968	11537	47993
969	11548	47979
970	11559	47966
971	11571	47953
972	11583	47941
973	11596	47933
974	11608	47920
975	11619	47906
976	11630	47892
977	11643	47882
978	11654	47868
979	11666	47854
980	11678	47843
981	11689	47829
982	11700	47815
983	11713	47805
984	11723	47787
985	11735	47776
986	11748	47766
987	11759	47753
988	11771	47739
989	11783	47728
990	11795	47716
991	11807	47705
992	11819	47692
993	11831	47681
994	11843	47670
995	11854	47657
996	11867	47648
997	11878	47634
998	11890	47620
999	11901	47604
1000	11912	47591
1001	11924	47579
1002	11936	47566
1003	11947	47553
1004	11959	47540
1005	11971	47527
1006	11982	47512
1007	11994	47501
1008	12005	47487
1009	12017	47475
1010	12029	47464
1011	12041	47452
1012	12053	47438
1013	12064	47426
1014	12075	47411
1015	12088	47401
1016	12100	47389
1017	12110	47372
1018	12123	47365
1019	12135	47351
1020	12146	47338
1021	12157	47323
1022	12168	47307
1023	12180	47295
1024	12194	47290
1025	12206	47278
1026	12218	47267
1027	12228	47250
1028	12240	47236
1029	12252	47224
1030	12263	47210
1031	12274	47196
1032	12287	47185
1033	12299	47174
1034	12310	47159
1035	12321	47145
1036	12333	47132
1037	12344	47120
1038	12356	47106
1039	12368	47093
1040	12379	47080
1041	12390	47066
1042	12402	47051
1043	12413	47039
1044	12425	47025
1045	12436	47012
1046	12448	47000
1047	12459	46986
1048	12471	46972
1049	12482	46959
1050	12493	46944
1051	12506	46934
1052	12518	46922
1053	12530	46913
1054	12542	46901
1055	12554	46889
1056	12566	46878
1057	12578	46867
1058	12590	46855
1059	12602	46843
1060	12613	46829
1061	12625	46814
1062	12636	46802
1063	12648	46788
1064	12659	46775
1065	12671	46762
1066	12683	46750
1067	12694	46738
1068	12705	46723
1069	12717	46709
1070	12728	46696
1071	12740	46683
1072	12752	46670
1073	12763	46655
1074	12774	46641
1075	12785	46627
1076	12797	46616
1077	12809	46602
1078	12821	46591
1079	12832	46578
1080	12844	46564
1081	12855	46550
1082	12867	46539
1083	12877	46522
1084	12889	46509
1085	12901	46497
1086	12912	46482
1087	12924	46469
1088	12935	46456
1089	12946	46441
1090	12958	46429
1091	12969	46413
1092	12981	46402
1093	12992	46386
1094	13003	46372
1095	13014	46358
1096	13026	46345
1097	13038	46333
1098	13050	46322
1099	13061	46308
1100	13072	46295
1101	13085	46284
1102	13097	46273
1103	13109	46262
1104	13121	46251
1105	13133	46240
1106	13144	46225
1107	13156	46213
1108	13167	46200
1109	13179	46188
1110	13191	46175
1111	13202	46159
1112	13214	46148
1113	13225	46134
1114	13237	46124
1115	13249	46111
1116	13260	46096
1117	13271	46083
1118	13283	46071
1119	13295	46061
1120	13308	46050
1121	13320	46039
1122	13332	46028
1123	13343	46014
1124	13355	46000
1125	13366	45986
1126	13378	45974
1127	13389	45961
1128	13401	45948
1129	13413	45938
1130	13425	45927
1131	13437	45915
1132	13449	45903
1133	13460	45888
1134	13472	45876
1135	13483	45864
1136	13496	45853
1137	13507	45840
1138	13518	45826
1139	13530	45813
1140	13542	45801
1141	13553	45786
1142	13565	45775
1143	13576	45762
1144	13588	45749
1145	13600	45739
1146	13612	45726
1147	13624	45715
1148	13636	45704
1149	13648	45692
1150	13659	45679
1151	13672	45670
1152	13683	45655
1153	13695	45642
1154	13705	45625
1155	13716	45611
1156	13728	45599
1157	13739	45583
1158	13750	45568
1159	13761	45555
1160	13773	45544
1161	13784	45529
1162	13795	45514
1163	13807	45502
1164	13819	45492
1165	13831	45480
1166	13843	45468
1167	13854	45455
1168	13866	45442
1169	13877	45428
1170	13890	45418
1171	13901	45404
1172	13911	45388
1173	13922	45373
1174	13934	45361
1175	13946	45350
1176	13958	45339
1177	13969	45324
1178	13981	45311
1179	13993	45299
1180	14004	45285
1181	14016	45274
1182	14027	45260
1183	14039	45248
1184	14050	45233
1185	14061	45219
1186	14073	45207
1187	14084	45194
1188	14097	45184
1189	14109	45173
1190	14121	45161
1191	14133	45150
1192	14144	45135
1193	14155	45122
1194	14167	45111
1195	14178	45095
1196	14190	45083
1197	14201	45070
